"Project_name","Tromso_herbarium_code","BOLD_code","Species","Family","NCBI_TaxonID","NCBI_corrected_TaxonID","NCBI_TaxonID_note","Collection_date","Collection_month","Sample_collector","Sampling_location","Sampling_latitude","Sampling_longitude","Sample_age_when_extracted","Weight_of_extracted_material","Extraction_concentration_(ng/uL)","library","read_count","Chloroplast_length","Chloroplast_contigs","Chloroplast_coverage","nrDNA_length","nrDNA_contigs","nrDNA_coverage","CORRECTION","CORRECTION_COMMENT"
"batch01","TROM_V_201175","PNOR1166-17","Taraxacum brachyrhynchum","Asteraceae",50225,50225,,1930-08-05,"August","Lid, Johannes","Norway, Jan Mayen, Near Kjollerdalkrateret.",71.05,-8.3833,87,0.022,15.5,"BXA:CJN",6440264,151040,1,71,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_68403","PNOR1421-18","Taraxacum torvum","Asteraceae",49743,49743,,1930-08-18,"August","Lid, Johannes","Norway, Jan Mayen, Kapp Fishburn",70.9971,-8.147,88,0.0434,9.06,"CDM:AGH",9175780,151427,1,123,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_90902","PNOR1403-18","Cochlearia arctica subsp. oblongifolia","Brassicaceae",97854,97854,,1937-07-08,"July","Norberg, Ingv. L.","United States, Alaska, Prince William Sound: Hinchinbrook Island.",60.39,-146.45,81,0.0224,4.2,"CDM:AJN",8192578,129022,8,136,9493,1,550.7,1,"Needs a new taxonid"
"batch01","TROM_V_135705","PNOR1170-17","Deschampsia beringensis","Poaceae",37723,37723,,1937-07-30,"July","Norberg, Ingv. L.","United States, Alaska, Prince William SD., Hinchinbrook I.",60.3833,-146.5,80,0.0181,11.9,"BXA:CJJ",9684552,"NA","NA","NA",6110,1,17.8,1,"Needs a new taxonid"
"batch01","TROM_V_135778","PNOR1406-18","Conioselinum kamtschaticum","Apiaceae",1981214,1981214,,1938-08-08,"August","Norberg, Ingv. L.","United States, Alaska, Prince William Sound, Orca.",60.5667,-145.7167,80,0.018,22.4,"CDM:ALG",8580128,294186,1,29.7,7035,1,587.5,1,"Unrecognized synonym"
"batch01","TROM_V_135944","PNOR1691-18","Sorbus groenlandica","Rosaceae",23222,23222,,1962-07-06,"July","Hansen, Carlo; Petersen, P. Milan","Greenland, Groenlandia meridionalis, Kangerdluarssuk.",61.1,-46.2,55,0.055,8.56,"CDM:ADT",10261496,94684,53,18.1,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_135770","PNOR1395-18","Chamaepericlymenum unalaschkene","Cornaceae",164434,164434,,1962-08-25,"August","Hansen, Carlo; Hansen, Kjeld; Petersen, P. Milan","Greenland, Groenlandia meridionalis, Torssukatak.",60.9333,-46.8,55,0.0273,6.44,"CDM:AKH",12536032,157112,1,192.5,5957,1,583,1,"Unrecognized synonym"
"batch01","TROM_V_135866","PNOR939-17","Elymus trachycaulus subsp. virescens","Poaceae",52709,52709,,1963-07-16,"July","Damsholt, Kell; Holmen, Kjeld","Greenland, Groenlandia meridionalis: Dyrnaes.",60.9333,-46.0667,55,0.032,59.4,"BXA:CER",9870650,53074,23,12.4,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_135855","PNOR1599-18","Puccinellia groenlandica","Poaceae",13648,13648,,1963-09-12,"September","Laegaard, Simon","Greenland, W Greenland, Eqaluit, N of Christianshab.",68.8833,-51.0833,55,0.0341,20.4,"CDM:ALM",8849900,106422,12,18,6505,1,87.4,1,"Needs a new taxonid"
"batch01","TROM_V_135857","PNOR1602-18","Puccinellia phryganodes subsp. neoarctica","Poaceae",669796,669796,,1964-08-07,"August","Hansen, Carlo; Petersen, P. Milan","Greenland, Groenlandia meridionalis, Maukarneq.",60.0167,-44.8,54,0.0282,24,"CDM:ALN",6383204,135877,1,53.5,8066,1,40.7,1,"Needs a new taxonid"
"batch01","TROM_V_300819","PNOR1017-17","Bistorta officinalis subsp. plumosa","Polygonaceae",669639,669639,,1972-07-14,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, Alaska Range, Steese Highway, Pinnell Mountain Trail.",65.4833,-145.7,46,0.0265,26.6,"BXA:CKD",13693250,48165,33,15.2,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_135792","PNOR1024-17","Dryas octopetala subsp. alaskensis","Rosaceae",2071455,2071455,,1972-07-14,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, Central, Steese Highway, Pinnell Mountain Trail. Mile 12.",65.4833,-145.6833,46,0.0373,7.72,"CDM:AFR",8854172,127676,8,61.2,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_300431","PNOR1012-17","Arabis hirsuta subsp. pycnocarpa","Brassicaceae",571367,571367,,1972-07-17,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, Alaska Range, Highway 3, Fairbanks to McKinley Park.",64.75,-148.2333,46,0.0209,39.8,"BXA:CFR",7210072,153483,1,325.7,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_135718","PNOR1018-17","Bromopsis pumpelliana subsp. arctica","Poaceae",15371,15371,,1972-07-19,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, Mt McKinley National Park. Cathedral Mt.",63.0333,-150.9833,45,0.0243,21.6,"BXA:CJM",7705692,"NA","NA","NA",6122,1,18.1,1,"Unrecognized synonym"
"batch01","TROM_V_300658","PNOR1015-17","Astragalus aboriginum","Fabaceae",989179,989179,,1972-07-20,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, McKinley National Park, Cathedral Mountain, locality 5.",63.05,-151,45,0.0242,34.2,"BXA:CKE",6082342,123591,1,268.9,8434,1,418.4,1,"Needs a new taxonid"
"batch01","TROM_V_135940","PNOR1044-17","Silene soczavana var. macrosperma","Caryophyllaceae",675740,675740,,1972-07-20,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, McKinley National Park, Cathedral Mountain, near summit.",63.05,-151,46,0.0209,9,"CDM:AFN",8041832,1198,4,15,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_135836","PNOR1161-17","Papaver hultenii var. salmonicolor","Papaveraceae",1301400,1301400,,1972-08-08,"August","Knaben, Gunvor","United States, Alaska, Arctic, Barrow area, at Nunavak Bay.",71.2333,-156.85,45,0.0362,51,"BXA:CEY",7447146,153668,1,89.1,7621,1,202.3,1,"Needs a new taxonid"
"batch01","TROM_V_89985","PNOR1182-17","Plantago canescens subsp. richardsonii","Plantaginaceae",669779,669779,,1973-07-17,"July","Thannheiser, Dietbert","Canada, Northwest Territories, Northwest Territories: Banks Island, Sachs Harbour.",69.5542,-93.5054,45,0.0168,8.8,"CDM:AFV",7885182,136234,1,208.9,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_135874","PNOR1124-17","Isoetes setacea subsp. muricata","Isoetaceae",264943,264943,,1973-08-08,"August","Fredskild, Bent","Greenland, W Greenland, Godhabsfjord, lake at Ikiniligssuaq.",64.3833,-50.35,45,0.0122,6.48,"CDM:AGX",9662408,128721,14,27.3,9090,1,344.7,1,"Needs a new taxonid"
"batch01","TROM_V_135886","PNOR1132-17","Potentilla ranunculus","Rosaceae",457910,457910,,1975-07-26,"July","Hanfgarn, Soren","Greenland, Disko, Mudderbugten, Pingo.",69.7667,-52.0667,42,0.0251,37,"BXA:CKC",6575538,125129,7,28,7204,1,21.2,1,"Needs a new taxonid"
"batch01","TROM_V_135746","PNOR911-17","Antennaria rosea subsp. pulvinata","Asteraceae",2065847,2065847,,1975-07-30,"July","Andersen, Lizzie; Hanfgarn, Soren","Greenland, Disko, Kvandalen.",69.7333,-52.4167,43,0.021,22,"BXA:CGL",6829058,127738,12,15.3,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_135867","PNOR1134-17","Roegneria violacea","Poaceae",52709,52709,,1978-07-31,"July","Hanfgarn, Soren","Greenland, W Greenland, Ikertoq, head of the northern branch of Akugdleg.",66.9333,-52.2667,39,0.0237,88.6,"BXA:CJW",8275882,115444,10,14.2,7519,1,98.5,1,"Needs a new taxonid"
"batch01","TROM_V_61848","PNOR1066-17","Pleuropogon sabinii","Poaceae",669780,669780,,1981-08-28,"August","Elvebakk, Arve; Spjelkavik, Sigmund","Norway, Haakon VII Land, Svalbard, Liefdefjorden N, Sordalsodden N",79.705,13.1704,36,0.017,43,"BXA:CJT",6373876,134388,1,139.2,7188,1,543,1,"Unrecognized synonym"
"batch01","TROM_V_135932","PNOR915-17","Saxifraga nathorstii","Saxifragaceae",1443523,1443523,,1982-07-08,"July","Bay, Christian; Fredskild, Bent","Greenland, N. Jameson Land, Schuchert Dal, N. of Major Paars Dal.",71.5333,-24.35,35,0.0452,22.4,"BXA:CKR",8109226,152013,1,40.3,6356,1,70.7,1,"Needs a new taxonid"
"batch01","TROM_V_61867","PNOR1104-17","Juncus triglumis subsp. albescens","Juncaceae",308399,308399,,1985-07-20,"July","Engelskjon, Torstein; Elvebakk, Arve; Hodin, Lars","Norway, Bunsow Land, Svalbard, Upper Gipsdalen, NW of Rinkbreen, SW of Gipsdalselva.",78.5564,17.2105,32,0.0175,13.1,"BXA:CLR",4741876,"NA","NA","NA",7201,1,84.5,1,"Unrecognized synonym"
"batch01","TROM_V_87582","PNOR1196-17","Braya humilis subsp. arctica","Brassicaceae",98020,98020,,1986-08-16,"August","Thannheiser, Dietbert","Canada, Northwest Territories, Minto Julet, Victoria Isl. N. W. T..",71.2925,-116.932,32,0.0228,11.3,"BXA:CJS",13833370,153700,1,260.4,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_45430","PNOR1362-18","Carex pediformis subsp. rhizodes","Cyperaceae",1220818,1220818,,1991-01-09,"September","Engelskjon, Torstein; Steilnes, Anne","Norway, ostre Baerum: Lysakerelvas juv, vest.",59.943,10.635,27,0.0348,20.4,"CDM:ASV",5866664,"NA","NA","NA",7687,1,56,1,"Needs a new taxonid"
"batch01","TROM_V_201815","PNOR1115-17","X Pucciphippsia vacillans","Poaceae",368332,368332,,1993-07-31,"July","Fredskild, Bent","Greenland, N. Greenland, land behind Sophus Mullers Naes.",80.9333,-15.1667,24,0.0176,30.6,"BXA:CMF",6231610,135606,1,72.6,8467,1,195.9,1,"Needs a new taxonid"
"batch01","TROM_V_64751","PNOR873-17","Honckenya peploides subsp. peploides","Caryophyllaceae",169223,169223,,1997-08-21,"August","Alm, Torbjorn; Often, Anders","Norway, Vadso, Finnmark, Vadsoya, ostenden.",70.0629,29.7729,20,0.0276,83,"BXA:CMB",9630448,141018,1,86.2,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_162257","PNOR765-16","Calamagrostis neglecta subsp. groenlandica","Poaceae",1891464,2030680,"Used the TaxonID from Calamagrostis stricta ssp. groenlandica, which is a synonym of C. neglecta ssp. groenlandica",2000-08-07,"August","Alm, Torbjorn","Norway, Kautokeino, Finnmark, Suolovuopmi: Silisjavri, ved utlopet av Suolojohka.",69.6025,23.4815,18,0.0197,14.17,"BXA:BLD",7766318,214786,1,33.7,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_148469","NNOR2048-16","Hierochloe odorata subsp. odorata","Poaceae",286619,286619,,2002-08-22,"August","Alm, Torbjorn; Iversen, Marianne","Norway, Hammerfest, Finnmark, Seiland: Bardfjorden, i fjordbunnen.",70.4072,22.9468,14,0.0458,70.8,"BMB:IP",9325882,116652,16,55.1,7515,1,234.7,1,"Needs a new taxonid"
"batch01","TROM_V_962655","NNOR1940-16","Stellaria nemorum subsp. nemorum","Caryophyllaceae",325516,325516,,2003-07-16,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Batsfjord, Finnmark, Varangerhalvoya: Batsfjorden, pa ostsiden, i Eikebergvika.",70.6289,29.7655,13,0.0196,29.6,"BMB:PT",7430820,123048,7,269.4,7574,1,523.5,1,"Needs a new taxonid"
"batch01","TROM_V_200733","PNOR892-17","Cochlearia arctica","Brassicaceae",270110,270110,,2004-07-04,"July","Alsos, Inger Greve; Tribsch, Andreas","Russian Federation, Yamalo-Nenets Autonomous Okrug, [Russia] Yamalo-Nenetsky Autonomous Okrug, Polar Ural, Massiv Rayiz: Black mountains, valley of river Enga-Yu, E Chernaya mountains, ca. 13 km W Kharp.",68.8408,65.5,13,0.0226,22,"BXA:CJQ",9012680,"NA","NA","NA",9649,1,2337.7,1,"Needs a new taxonid"
"batch01","TROM_V_90427","PNOR1620-18","Rumex acetosella subsp. tenuifolius","Polygonaceae",61450,61450,,2004-07-25,"July","Breivik, ase Boilestad; Skjerstad, Ragnar; Navjord, Inger","Norway, Hamaroy, Nordland, Kaldvag: Berget ovenfor bebyggelsen.",68.0471,15.7444,14,0.0295,16,"CDM:ALZ",10352072,129466,5,104.2,7674,1,107.7,1,"Needs a new taxonid"
"batch01","TROM_V_200518","PNOR1221-17","Dryas integrifolia subsp. integrifolia","Rosaceae",395290,395290,,2004-07-30,"July","Westergaard, Kristine","Greenland, Dundas Bay.",76.5603,-68.7827,13,0.04,17.1,"BXA:CCX",11785830,133598,5,384.8,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_940103","NNOR2084-16","Phalaroides arundinacea","Poaceae",96050,96050,,2006-08-07,"August","Vange, Vibekke","Norway, Evenes, Nordland, Evenes: Liland: Volden, i strandsonen.",68.4698,16.8644,10,0.0664,20,"BMB:FP",6856910,11972,3,13.2,6916,1,163.5,1,"Unrecognized synonym"
"batch01","TROM_V_97167","PNOR1631-18","Sagina nodosa subsp. borealis","Caryophyllaceae",1155358,1155358,,2007-07-07,"July","Osterkloft, Bernt-Gunnar","Norway, Bodo, Nordland, Bodo, Daglia i Laupsmarka.",67.3145,14.4595,11,0.0201,12.1,"CDM:ALY",8318682,151513,1,183.6,9040,1,429.1,1,"Needs a new taxonID"
"batch01","TROM_V_962020","PNOR1368-18","Carex rostrata var. borealis","Cyperaceae",241230,241230,,2007-07-18,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, oksfjorden: Sorelvdalen/Giddavaggi.",70.0991,22.4594,11,0.0314,26,"CDM:ASM",6225344,"NA","NA","NA",6655,1,746.1,1,"Needs a new taxonid"
"batch01","TROM_V_350938","PNOR900-17","Festuca rubra subsp. megastachys","Poaceae",2527786,2527786,"Used the taxonID from Festuca diffusa, a synonum of Festuca rubra subsp. megastachys",2008-08-25,"August","Alsos, Inger Greve; Ware, Chris J.","Norway, Nordenskiold Land, Svalbard, Barentsburg.",78.0672,14.1985,9,0.0302,118,"BXA:CLT",11004798,133356,1,96.6,9730,1,354.7,1,"Unrecognized synonym"
"batch01","TROM_V_133949","NNOR1829-15","Galium mollugo subsp. erectum","Rubiaceae",29787,29787,"Used the TaxonID from Galium album, a synonym of Galium mollugo erectum",2009-06-20,"June","Osterkloft, Bernt-Gunnar","Norway, Bodo, Nordland, Landego, Tennesvika.",67.3846,14.3366,7,0.0392,118.8,"BMB:DS",17229410,153740,1,171.9,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_964714","PNOR842-16","Oxytropis campestris subsp sordida","Fabaceae",1891508,669736,"Used the TaxonID from Oxytropis sordida, a synonym of O. campestris ssp. sordida",2009-07-16,"July","Alm, Torbjorn; Arnesen, Geir","Norway, Nesseby, Finnmark, Varangerhalvoya: nord for Fugleasen/Ciesti, i skrenten ovenfor veien, under bergene overst.",70.13,29.0546,8,0.0335,66.4,"BXA:AGV",9299486,125434,25,175.5,8626,1,970.1,1,"Unrecognized synonym"
"batch01","TROM_V_965702","PNOR846-16","Potentilla arenosa ssp. chamissonis","Rosaceae",1301411,1301411,"Taxonid corrected from 1891520",2009-07-29,"July","Gaarder, Geir; Golten, Ingrid","Norway, Porsanger, Finnmark, Raigebakti sor.",70.2899,25.139,9,0.0268,8.06,"BXA:BSD",8890426,156329,1,208.2,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_134616","PNOR1373-18","Carex serotina subsp. serotina","Cyperaceae",483235,483235,,2010-07-23,"July","Olsen, Knut-Jorgen; Brattland, Eli; Blakstvedt, Erik","Norway, aseli: Osan.",67.1798,14.5708,8,0.0168,25.5,"CDM:ASD",10430900,"NA","NA","NA",7979,1,1006,1,"Needs a new taxonid"
"batch01","TROM_V_351285","NNOR1958-16","Salix caprea subsp. sphacelata","Salicaceae",717484,717484,,2010-08-11,"August","Mathiassen, Geir; Granmo, Alfred; Rama, Teppo","Norway, Alta, Finnmark, Jotka skogsreservat v. Altaelva / Jotkaelva.",69.7227,23.7882,6,0.034,7.2,"BMB:LF",8287620,125614,16,29.4,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_967830","PNOR1382-18","Carex viridula var. pulchella","Cyperaceae",241237,241237,,2014-07-24,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Bjarkoy: Meloyvaer: Krottoya, Kollen, pa toppen.",69.0542,16.5249,4,0.0201,28.5,"CDM:ASC",11118890,"NA","NA","NA",11623,1,710.6,1,"Needs a new taxonid"
"batch01","TROM_V_968202","PNOR868-17","Hieracium peleterianum subsp. boreades","Asteraceae",268057,268057,,2015-07-20,"July","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Alta, Finnmark, Seiland: Hakkstabben, Seikbukttind, nordvestlige del.",70.2911,23.1375,2,0.0258,16,"BXA:CCG",9359900,153107,1,142.2,6496,1,468.6,1,"Needs a new taxonid"
"batch01","TROM_V_968149","PNOR871-17","Pedicularis palustris subsp. borealis","Orobanchaceae",462877,462877,,2015-08-08,"August","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Kautokeino, Finnmark, Suoluvuopmi: Borri, pa topp-plataet.",69.5682,23.525,2,0.0176,19.8,"BXA:CCF",9003416,147065,1,61,8720,1,1442.3,1,"Needs a new taxonid"
"batch01","TROM_V_968319","PNOR864-17","Campanula latifolia subsp. macrantha","Campanulaceae",239410,239410,,2015-08-16,"August","Alm, Torbjorn; Gamst, Unni Bjerke","Norway, Tromso, Troms, Kvaloya: Slettaelva, ved Karveslettveien.",69.7018,18.9048,2,0.0174,15.6,"BXA:CCE",5523300,"NA","NA","NA",9001,1,238.5,1,"Needs a new taxonid"
"batch01","TROM_V_94029","PNOR1092-17","Pyrola grandiflora subsp. norvegica","Ericaceae",395309,395309,,2016-06-30,"June","Endal, Arild","Norway, Malselv, Troms, Fjellfrosbrua.",69.022,19.3007,1,0.0253,22.8,"BXA:CJD",12993384,"NA","NA","NA",8005,1,215.3,1,"Needs a new taxonid"
"batch01","TROM_V_94023","PNOR1083-17","Erigeron acer subsp. politus","Asteraceae",91246,91246,,2016-08-17,"August","Endal, Arild","Norway, Bardu, Troms, Stromsora.",68.6967,18.6907,1,0.0198,22,"BXA:CJG",15154586,152423,1,161.9,7945,1,692,1,"Needs a new taxonid"
"batch01","TROM_V_94022","PNOR1081-17","Betula nana subsp. tundrarum","Betulaceae",216990,216990,,2016-08-23,"August","Endal, Arild","Norway, Malselv, Troms, Solvoll, overbygd.",69.0277,19.3685,1,0.0244,18.2,"BXA:CCC",8290454,160589,1,111.3,6706,1,335.8,1,"Needs a new taxonid"
